id,title,episodes,year,original_channel,im_db,start_year,end_year,new_title
1587,Tiny Toons Looniversity,10,2023-present,Max,6.5,2023,NA,Tiny Toons Looniversity
1588,Titan Maximum,9,2009,Adult Swim,7,2009,NA,Titan Maximum
1589,The Tom and Jerry Comedy Show,45,1980,CBS,7.6,1980,NA,The Tom and Jerry Comedy Show
1590,Tom and Jerry in New York,13,2021,HBO Max,5.3,2021,NA,Tom and Jerry in New York
1591,Tom & Jerry Kids,65,1990-1993,Fox Kids Network,6.2,1990,1993,Tom & Jerry Kids
1592,The Tom and Jerry Show (1975),16,1975,ABC,7.8,1975,NA,The Tom and Jerry Show
1593,The Tom and Jerry Show (2014),117,2014-2021,Cartoon NetworkBoomerang,7.1,2014,2021,The Tom and Jerry Show
1594,Tom and Jerry Special Shorts,2,2021,HBO Max,8.6,2021,NA,Tom and Jerry Special Shorts
1595,Tom and Jerry Tales,26,2006-2008,Kids' WB,7.4,2006,2008,Tom and Jerry Tales
1596,Tom Goes to the Mayor,30,2004-2006,Adult Swim,6.7,2004,2006,Tom Goes to the Mayor
1597,Tom Terrific,26,1957-1959,CBS,7.7,1957,1959,Tom Terrific
1598,The Tomfoolery Show,4,1970-1971,NBC,7.8,1970,1971,The Tomfoolery Show
1599,Too Cool! Cartoons,11,2013-2014,YouTube,6.6,2013,2014,Too Cool! Cartoons
1600,Toon In with Me,600,2021-present,MeTV,7.8,2021,NA,Toon In with Me
1601,Tooning Out the News,263,2020-2023,Paramount+,5.5,2020,2023,Tooning Out the News
1602,ToonHeads,102,1992-2003,Cartoon Network,8.4,1992,2003,ToonHeads
1603,Toonsylvania,21,1998-1999,Fox Kids,6.9,1998,1999,Toonsylvania
1604,Tooter Turtle,39,1960-1961,NBC,7.3,1960,1961,Tooter Turtle
1605,Top Cat,30,1961-1962,ABC,7.1,1961,1962,Top Cat
1606,Tortellini Western,13,2004,Nicktoons,7.8,2004,NA,Tortellini Western
1607,Totally Tooned In,65,1999-2000,Syndication,8,1999,2000,Totally Tooned In
1608,Touche Turtle and Dum Dum,52,1962-1963,Syndication,6.4,1962,1963,Touche Turtle and Dum Dum
1609,Toxic Crusaders,13,1991,Syndication,6.5,1991,NA,Toxic Crusaders
1610,Toy Story Toons,3,2011-2012,Disney Channel,7,2011,2012,Toy Story Toons
1611,Toy Story Treats,54,1996,ABC,7.1,1996,NA,Toy Story Treats
1612,The Transformers,98,1984-1987,Syndication,8,1984,1987,The Transformers
1613,Transformers: Animated,42,2007-2009,Cartoon Network,6.7,2007,2009,Transformers: Animated
1614,Transformers: Prime,65,2010-2013,The Hub,8,2010,2013,Transformers: Prime
1615,Transformers: Robots in Disguise,71,2015-2017,Cartoon Network,5.9,2015,2017,Transformers: Robots in Disguise
1616,Transformers: Titans Return,10,2017-2018,go90,5.8,2017,2018,Transformers: Titans Return
1617,Trash Truck,28,2020-2021,Netflix,8.7,2020,2021,Trash Truck
1618,TripTank,28,2015-2016,Comedy Central,6.5,2015,2016,TripTank
1619,Trivia Quest,30,2022,Netflix,5.8,2022,NA,Trivia Quest
