id,title,episodes,year,original_channel,im_db,start_year,end_year,new_title
303,Chicago Party Aunt,16,2021-present,Netflix,5.6,2021,NA,Chicago Party Aunt
304,The Chicken Squad,29,2021-2022,Disney Junior,5.8,2021,2022,The Chicken Squad
305,"China, IL",30,2011-2015,Adult Swim,7.1,2011,2015,"China, IL"
306,Chip 'n Dale: Rescue Rangers,65,1989-1990,Syndication,7,1989,1990,Chip 'n Dale: Rescue Rangers
307,Chowder,49,2007-2010,Cartoon Network,7.4,2007,2010,Chowder
308,Chozen,10,2014,FX,6.5,2014,NA,Chozen
309,The Chuck Jones Show,6,2001-2002,Cartoon Network,7.4,2001,2002,The Chuck Jones Show
311,Clarence,130,2014-2018,Cartoon Network,6.8,2014,2018,Clarence
312,Class of 3000,27,2006-2008,Cartoon Network,6.5,2006,2008,Class of 3000
313,Classical Baby,6,2005,HBO Family,8.8,2005,NA,Classical Baby
314,Cleopatra in Space,24,2020-2022,HuluPeacock,6.6,2020,2022,Cleopatra in Space
315,Clerks: The Animated Series,6,2000-2002,ABC,7.4,2000,2002,Clerks: The Animated Series
316,The Cleveland Show,89,2009-2013,Fox,5.6,2009,2013,The Cleveland Show
317,Close Enough,24,2020-2022,HBO Max,7.8,2020,2022,Close Enough
318,Clue Club,16,1976,CBS,6.8,1976,NA,Clue Club
319,Clutch Cargo,52,1959-1960,Syndication,5.5,1959,1960,Clutch Cargo
320,Code Monkeys,26,2007-2008,G4,7.2,2007,2008,Code Monkeys
321,Codename: Kids Next Door,78,2002-2008,Cartoon Network,7.2,2002,2008,Codename: Kids Next Door
322,Colonel Bleep,100,1957-1960,Syndication,6.5,1957,1960,Colonel Bleep
323,The Comic Strip,65,1987,Syndication,7.8,1987,NA,The Comic Strip
324,Commander McBragg,48,1964-1966,CBS,3.1,1964,1966,Commander McBragg
325,The Completely Mental Misadventures of Ed Grimley,13,1988,NBC,7.5,1988,NA,The Completely Mental Misadventures of Ed Grimley
326,Conan and the Young Warriors,13,1994,CBS,7,1994,NA,Conan and the Young Warriors
327,Constantine: City of Demons,2,2018-2019,CW Seed,7.5,2018,2019,Constantine: City of Demons
328,Costume Quest,14,2019,Amazon Prime Video,7.1,2019,NA,Costume Quest
329,Courage the Cowardly Dog,52,1999-2002,Cartoon Network,8.3,1999,2002,Courage the Cowardly Dog
330,Courageous Cat and Minute Mouse,130,1960-1962,Syndication,7.4,1960,1962,Courageous Cat and Minute Mouse
331,Cow and Chicken,52,1997-1999,Cartoon Network,6.5,1997,1999,Cow and Chicken
332,Craig of the Creek,170,2018-present,Cartoon Network,7.5,2018,NA,Craig of the Creek
333,The Crayon Box,26,1997-1998,Syndication,2.1,1997,1998,The Crayon Box
334,The Critic,23,1994-1995,ABC,7.8,1994,1995,The Critic
335,Cro,21,1993-1994,ABC,8.4,1993,1994,Cro
336,The Croods: Family Tree,39,2021-2023,HuluPeacock,6.8,2021,2023,The Croods: Family Tree
337,Crossing Swords,20,2020-2021,Hulu,6.7,2020,2021,Crossing Swords
338,Curious George (2006),198,2006-2022,PBS KidsPeacock,6.5,2006,2022,Curious George
339,Curses!,10,2023-present,Apple TV+,6.8,2023,NA,Curses!
340,The Cyanide & Happiness Show,41,2014-2019,YouTubeSeesoVRV,7.9,2014,2019,The Cyanide & Happiness Show
341,C Bear and Jamal,13,1996-1997,Fox Kids,5.8,1996,1997,C Bear and Jamal
342,Cadillacs and Dinosaurs,13,1993-1994,CBS,7,1993,1994,Cadillacs and Dinosaurs
343,Camp Candy,39,1989-1992,NBC,6.8,1989,1992,Camp Candy
344,Captain Harlock and the Queen of a Thousand Years,65,1986,Syndication,7.7,1986,NA,Captain Harlock and the Queen of a Thousand Years
345,Captain Laserhawk: A Blood Dragon Remix,10,2023,Netflix,7.1,2023,NA,Captain Laserhawk: A Blood Dragon Remix
346,Captain N: The Game Master,34,1989-1991,NBC,6.3,1989,1991,Captain N: The Game Master
347,Care Bears,11,1985,Syndication,7.2,1985,NA,Care Bears
348,The Care Bears Family,49,1986-1988,ABCSyndication,6,1986,1988,The Care Bears Family
349,Care Bears: Unlock the Magic,49,2019-2020,Boomerang,7.6,2019,2020,Care Bears: Unlock the Magic
350,Carmen Sandiego,19,2019-2021,Netflix,7.9,2019,2021,Carmen Sandiego
351,Carol & The End of The World,10,2023,Netflix,7.2,2023,NA,Carol & The End of The World
352,Cartoon Sushi,15,1997-1998,MTV,7.3,1997,1998,Cartoon Sushi
353,Casper's Scare School,52,2009-2012,Cartoon Network,4.5,2009,2012,Casper's Scare School
354,The Cat in the Hat Knows a Lot About That!,80,2010-2018,PBS Kids,6.4,2010,2018,The Cat in the Hat Knows a Lot About That!
355,CBS Storybreak,26,1985-1989,CBS,7.8,1985,1989,CBS Storybreak
356,Celebrity Deathmatch,93,"1998-2002, 2006-2007","MTV, MTV2",6.9,1998,2002,Celebrity Deathmatch
357,Chaotic,79,2006-2010,Fox (4Kids TV),6.6,2006,2010,Chaotic
358,Charlie's Colorforms City,39,2019-2022,Netflix,6.6,2019,2022,Charlie's Colorforms City
359,Chico Bon Bon: Monkey with a Tool Belt,38,2020,Netflix,6.3,2020,NA,Chico Bon Bon: Monkey with a Tool Belt
360,Chip 'n' Dale: Park Life,24,2021-present,Disney+,6,2021,NA,Chip 'n' Dale: Park Life
361,Chloe's Closet,52,2009-2014,Sprout,7.4,2009,2014,Chloe's Closet
362,City of Ghosts,6,2021,Netflix,7.4,2021,NA,City of Ghosts
363,Click and Clack's As the Wrench Turns,10,2008,PBS,5.4,2008,NA,Click and Clack's As the Wrench Turns
364,Clifford the Big Red Dog (2000),66,2000-2003,PBS Kids,6.5,2000,2003,Clifford the Big Red Dog
365,Clifford the Big Red Dog (2019),39,2019-2021,PBS KidsAmazon Prime Video,5.6,2019,2021,Clifford the Big Red Dog
366,Clifford's Puppy Days,78,2003-2006,PBS Kids,6.6,2003,2006,Clifford's Puppy Days
367,Clone High,23,"2002-2003, 2023-present",MTVMax,6.4,2002,2003,Clone High
368,Cloudy with a Chance of Meatballs,52,2017-2018,Cartoon Network,6.9,2017,2018,Cloudy with a Chance of Meatballs
369,Cocomelon,80,2020-present,YouTube,4.1,2020,NA,Cocomelon
370,Coconut Fred's Fruit Salad Island,13,2005-2006,Kids' WB,2.6,2005,2006,Coconut Fred's Fruit Salad Island
371,Conan the Adventurer,65,1992-1993,Syndication,7.3,1992,1993,Conan the Adventurer
372,Cool McCool,20,1966-1967,NBC,7,1966,1967,Cool McCool
373,COPS,65,1988,Syndication,6.9,1988,NA,COPS
374,Cosmic Quantum Ray,26,2007-2008,Animalia HDThe Hub,6,2007,2008,Cosmic Quantum Ray
375,The Cramp Twins,26,2004,Cartoon Network,6.1,2004,NA,The Cramp Twins
376,Crashbox,52,1999-2000,HBO Family,8.6,1999,2000,Crashbox
377,Creative Galaxy,36,2013-2019,Amazon Prime Video,5.2,2013,2019,Creative Galaxy
378,The Creature Cases,20,2022-present,Netflix,7.6,2022,NA,The Creature Cases
379,Creepy Crawlers,23,1994-1996,Syndication,6.6,1994,1996,Creepy Crawlers
380,Crusader Rabbit,455,1950-1959,Syndication,7.1,1950,1959,Crusader Rabbit
381,The Cuphead Show!,36,2022,Netflix,7.4,2022,NA,The Cuphead Show!
383,Cyberchase,140,2002-present,"PBS Kids (2002-2004, 2013-present)PBS Kids Go! (2004-2013)",6.9,2002,NA,Cyberchase
385,Dallas & Robo,8,2018,YouTube Premium,6.5,2018,NA,Dallas & Robo
386,Dan Vs.,53,2011-2013,The Hub,7.7,2011,2013,Dan Vs.
387,Danger & Eggs,13,2017,Amazon Video,5.1,2017,NA,Danger & Eggs
388,Danger Rangers,16,2005-2006,PBS Kids,7.6,2005,2006,Danger Rangers
389,Danny Phantom,53,2004-2007,Nickelodeon,7.2,2004,2007,Danny Phantom
390,Daria,65,1997-2002,MTV,8.1,1997,2002,Daria
391,Darkstalkers,13,1995,Syndication,4.2,1995,NA,Darkstalkers
392,Darkwing Duck,91,1991-1992,ABC,7.6,1991,1992,Darkwing Duck
393,Dastardly and Muttley in Their Flying Machines,17,1969-1970,CBS,7.1,1969,1970,Dastardly and Muttley in Their Flying Machines
394,Dave the Barbarian,21,2004-2005,Disney Channel,7,2004,2005,Dave the Barbarian
395,Davey and Goliath,73,1961-1973,Syndication,7.5,1961,1973,Davey and Goliath
396,Dawn of the Croods,52,2015-2017,Netflix,5.8,2015,2017,Dawn of the Croods
397,DC Nation Shorts,162,2011-2014,Cartoon Network,7.2,2011,2014,DC Nation Shorts
398,DC Super Hero Girls (2015),112,2015-2018,Cartoon Network,7.1,2015,2018,DC Super Hero Girls
399,DC Super Hero Girls (2019),78,2019-2021,Cartoon Network,7.3,2019,2021,DC Super Hero Girls
400,El Deafo,3,2022,Amazon Prime Video,7.7,2022,NA,El Deafo
401,Deathstroke: Knights & Dragons,2,2020,CW Seed,6.3,2020,NA,Deathstroke: Knights & Dragons
402,Decisive Battles,13,2004,History Channel,7.8,2004,NA,Decisive Battles
403,Deepa & Anoop,18,2022-present,Netflix,8.1,2022,NA,Deepa & Anoop
404,Defenders of the Earth,65,1986-1987,Syndication,7,1986,1987,Defenders of the Earth
405,The Deputy Dawg Show,104,1960-1964,Syndication,7,1960,1964,The Deputy Dawg Show
406,Detention,13,1999-2000,Kids' WB,7.6,1999,2000,Detention
407,Devil May Care,7,2021,Syfy,6.2,2021,NA,Devil May Care
408,Devlin,16,1974,ABC,7.2,1974,NA,Devlin
409,Dew Drop Diaries,28,2023-present,Netflix,8.6,2023,NA,Dew Drop Diaries
410,Dexter's Laboratory,78,1996-2003,Cartoon Network,7.9,1996,2003,Dexter's Laboratory
411,The Dick & Paula Celebrity Special,6,1999-2000,FX,8.1,1999,2000,The Dick & Paula Celebrity Special
412,Dick Figures,54,2010-2015,YouTube,7.8,2010,2015,Dick Figures
413,The Dick Tracy Show,130,1961-1962,Syndication,5.6,1961,1962,The Dick Tracy Show
414,Dicktown,20,2020-2022,FXX,6.8,2020,2022,Dicktown
415,Digman!,8,2023-present,Comedy Central,6.5,2023,NA,Digman!
416,Dilbert,30,1999-2000,UPN,7.3,1999,2000,Dilbert
417,"Dink, the Little Dinosaur",21,1989-1990,CBS,7.1,1989,1990,"Dink, the Little Dinosaur"
418,Dino Pop!,36,2023-present,Peacock,7.6,2023,NA,Dino Pop!
419,DinoSquad,26,2007-2008,CBS,5.2,2007,2008,DinoSquad
420,Dinotrux,78,2015-2018,Netflix,6.8,2015,2018,Dinotrux
421,Dino-Riders,14,1988,Syndication,7.1,1988,NA,Dino-Riders
422,Disenchantment,50,2018-2023,Netflix,7.2,2018,2023,Disenchantment
423,DJ & the Fro,12,2009,MTV,5.5,2009,NA,DJ & the Fro
424,Doc McStuffins,244,2012-2020,Disney Junior,6.5,2012,2020,Doc McStuffins
425,Doctor Dolittle,17,1970-1971,NBC,8,1970,1971,Doctor Dolittle
426,Donald Duck Presents,71,1983-1992,The Disney Channel,7.9,1983,1992,Donald Duck Presents
427,Donald's Quack Attack,94,1992-1997,The Disney Channel,7.1,1992,1997,Donald's Quack Attack
428,"Do, Re & Mi",26,2021-present,Amazon Prime Video,7.4,2021,NA,"Do, Re & Mi"
429,Dora and Friends: Into the City!,38,2014-2017,Nickelodeon,3.8,2014,2017,Dora and Friends: Into the City!
430,Dora the Explorer,177,2000-2019,Nickelodeon,4.3,2000,2019,Dora the Explorer
431,Dorothy and the Wizard of Oz,60,2017-2020,Boomerang,6,2017,2020,Dorothy and the Wizard of Oz
432,Doug Unplugs,26,2020-2022,Apple TV+,7.2,2020,2022,Doug Unplugs
433,Downtown,13,1999,MTV,8.3,1999,NA,Downtown
434,Dr. Henry's Emergency Lessons for People,8,1979-1980,ABC,4.4,1979,1980,Dr. Henry's Emergency Lessons for People
435,Dragon's Lair,13,1984,ABC,6.6,1984,NA,Dragon's Lair
436,Drawn Together,36,2004-2007,Comedy Central,7.1,2004,2007,Drawn Together
437,Dream Corp LLC,28,2016-2020,Adult Swim,7.2,2016,2020,Dream Corp LLC
438,DreamWorks Dragons,118,2012-2018,Cartoon NetworkNetflix,7.9,2012,2018,DreamWorks Dragons
439,DreamWorks Dragons: Rescue Riders,53,2019-2022,NetflixPeacock,6,2019,2022,DreamWorks Dragons: Rescue Riders
440,DreamWorks Dragons: The Nine Realms,52,2021-2023,HuluPeacock,5.3,2021,2023,DreamWorks Dragons: The Nine Realms
441,The Drinky Crow Show,10,2008-2009,Adult Swim,6.5,2008,2009,The Drinky Crow Show
442,"Droopy, Master Detective",39,1993,Fox Kids,6.3,1993,NA,"Droopy, Master Detective"
443,"Dr. Katz, Professional Therapist",81,1995-2002,Comedy Central,7.6,1995,2002,"Dr. Katz, Professional Therapist"
444,Duck Dodgers,39,2003-2005,Cartoon Network,7.7,2003,2005,Duck Dodgers
445,Duck & Goose,17,2022-present,Apple TV+,7.8,2022,NA,Duck & Goose
446,Duckman,70,1994-1997,USA Network,7.8,1994,1997,Duckman
447,DuckTales (1987),100,1987-1990,Syndication,8,1987,1990,DuckTales
448,DuckTales (2017),69,2017-2021,"Disney XD (2017, 2020-21)Disney Channel (2018-19)",8.3,2017,2021,DuckTales
449,Dug Days,5,2021,Disney+,8,2021,NA,Dug Days
450,The Dukes,20,1983,CBS,5.5,1983,NA,The Dukes
451,Dumb and Dumber,13,1995-1996,ABC,7.3,1995,1996,Dumb and Dumber
452,Dungeons & Dragons,27,1983-1985,CBS,8,1983,1985,Dungeons & Dragons
453,"Dynomutt, Dog Wonder",20,1976-1977,ABC,6.6,1976,1977,"Dynomutt, Dog Wonder"
454,Da Boom Crew,4,2004,Kids' WB,2.5,2004,NA,Da Boom Crew
455,Da Jammies,13,2015,Netflix,7.1,2015,NA,Da Jammies
456,Daniel Spellbound,20,2022-present,Netflix,6.9,2022,NA,Daniel Spellbound
457,Daniel Tiger's Neighborhood,134,2012-present,PBS Kids,7.5,2012,NA,Daniel Tiger's Neighborhood
458,Dead End: Paranormal Park,20,2022,Netflix,7.1,2022,NA,Dead End: Paranormal Park
459,Dee & Friends in Oz,16,2024-present,Netflix,8.5,2024,NA,Dee & Friends in Oz
460,Dennis the Menace,78,1986-1988,Syndication,6.2,1986,1988,Dennis the Menace
461,"Denver, the Last Dinosaur",50,1988,Syndication,6.4,1988,NA,"Denver, the Last Dinosaur"
462,Descendants: Wicked World,33,2015-2017,Disney Channel,6.4,2015,2017,Descendants: Wicked World
463,Diabolik,40,1999-2001,Fox Kids,5.9,1999,2001,Diabolik
464,Dinky Dog,16,1980,CBS,6.1,1980,NA,Dinky Dog
465,Dino Babies,26,1994-1996,Fox Family,7.2,1994,1996,Dino Babies
466,Dinosaur Train,100,2009-2020,PBS Kids,8.5,2009,2020,Dinosaur Train
467,Dinozaurs,26,2000,Fox Kids,6.8,2000,NA,Dinozaurs
468,Dog City,31,1992-1994,Fox Kids,7.2,1992,1994,Dog City
469,Dogs in Space,20,2021-2022,Netflix,7.2,2021,2022,Dogs in Space
470,Domo TV,26,2008-2009,Nicktoons Network,7.2,2008,2009,Domo TV
471,Doomlands,10,2022-present,The Roku Channel,6.6,2022,NA,Doomlands
472,The Doozers,72,2013-2018,Hulu,7.4,2013,2018,The Doozers
473,Dot.,78,2016-2018,Universal Kids,7.7,2016,2018,Dot.
474,Dota: Dragon's Blood,24,2021-2022,Netflix,7.7,2021,2022,Dota: Dragon's Blood
475,Double Dragon,26,1993-1994,Syndication,6.3,1993,1994,Double Dragon
476,Doug,117,1991-1999,"Nickelodeon (Seasons 1-4)
ABC (Seasons 5-7)",7.4,1991,1999,Doug
477,Dragon,78,2004-2007,Qubo,8.3,2004,2007,Dragon
478,Dragon Flyz,26,1996-1997,Syndication,7,1996,1997,Dragon Flyz
479,The Dragon Prince,36,2018-present,Netflix,8.3,2018,NA,The Dragon Prince
480,Dragon Tales,155,1999-2005,PBS Kids,8.4,1999,2005,Dragon Tales
481,Drak Pack,16,1980,CBS,6.7,1980,NA,Drak Pack
482,Duncanville,36,2020-2022,Fox,6.3,2020,2022,Duncanville
483,Eagle Riders,26,1996-1997,Syndication,7.9,1996,1997,Eagle Riders
484,Earthworm Jim,23,1995-1996,Kids' WB,7.2,1995,1996,Earthworm Jim
485,"Ed, Edd n Eddy",69,1999-2009,Cartoon Network,7.5,1999,2009,"Ed, Edd n Eddy"
486,Edgar & Ellen,26,2007-2008,Nicktoons Network,5.8,2007,2008,Edgar & Ellen
487,Eek! The Cat,75,1992-1997,Fox Kids,7.2,1992,1997,Eek! The Cat
488,Elena of Avalor,77,2016-2020,Disney Junior,6.5,2016,2020,Elena of Avalor
489,Elinor Wonders Why,40,2020-2022,PBS Kids,8.2,2020,2022,Elinor Wonders Why
490,Ellen's Acres,26,2007,Cartoon Network,6.2,2007,NA,Ellen's Acres
491,Elliott from Earth,20,2021,Cartoon Network,7.5,2021,NA,Elliott from Earth
492,Eloise: The Animated Series,13,2006,Starz Kids & Family,6.5,2006,NA,Eloise: The Animated Series
493,Emergency +4,23,1973-1974,NBC,7.2,1973,1974,Emergency +4
494,The Emperor's New School,52,2006-2008,Disney Channel,6.6,2006,2008,The Emperor's New School
495,The Epic Tales of Captain Underpants,45,2018-2020,Netflix,6.7,2018,2020,The Epic Tales of Captain Underpants
496,Epithet Erased,7,2019,VRV,5.9,2019,NA,Epithet Erased
497,Esme & Roy,52,2018-2021,HBO,7.6,2018,2021,Esme & Roy
498,Eureka!,30,2022-present,Disney Junior,7.9,2022,NA,Eureka!
499,Eva the Owlet,16,2023-present,Apple TV+,8.3,2023,NA,Eva the Owlet
500,Evil Con Carne,13,2001-2004,Cartoon Network,6.9,2001,2004,Evil Con Carne
501,Ewoks,26,1985-1986,ABC,6,1985,1986,Ewoks
502,Exosquad,52,1993-1994,Syndication,8.4,1993,1994,Exosquad
503,Exposure,20,2000-2002,Sci Fi Channel,7.9,2000,2002,Exposure
504,Extreme Dinosaurs,52,1997,Syndication,6.4,1997,NA,Extreme Dinosaurs
505,Extreme Ghostbusters,40,1997,Syndication,6.9,1997,NA,Extreme Ghostbusters
506,Eye Drops,13,2002,TechTV,2.1,2002,NA,Eye Drops
507,F Is for Family,44,2015-2021,Netflix,8,2015,2021,F Is for Family
508,Fabulous Funnies,13,1978-1979,NBC,7.6,1978,1979,Fabulous Funnies
509,Face's Music Party,15,2022-present,Nickelodeon,8.9,2022,NA,Face's Music Party
510,Fairfax,16,2021-2022,Amazon Prime Video,5.4,2021,2022,Fairfax
511,The Fairly OddParents,172,2001-2017,Nickelodeon,7.2,2001,2017,The Fairly OddParents
512,Fairview,8,2022,Comedy Central,1.5,2022,NA,Fairview
513,Family Dog,10,1993,CBS,6.9,1993,NA,Family Dog
514,Family Guy,409,1999-present,Fox,8.1,1999,NA,Family Guy
515,Famous Classic Tales,31,1970-1984,CBS,4.6,1970,1984,Famous Classic Tales
516,Fanboy & Chum Chum,52,2009-2014,Nickelodeon,3.3,2009,2014,Fanboy & Chum Chum
517,Fancy Nancy,63,2018-2022,Disney Junior,5.4,2018,2022,Fancy Nancy
518,Fangface,16,1978-1980,ABC,6.1,1978,1980,Fangface
519,Fantastic Four (1967),20,1967-1968,ABC,6.6,1967,1968,Fantastic Four
520,Fantastic Four (1994),26,1994-1996,Syndication,3.8,1994,1996,Fantastic Four
521,Fantastic Four: World's Greatest Heroes,26,2006-2010,Cartoon Network,6.7,2006,2010,Fantastic Four: World's Greatest Heroes
522,Fantastic Max,26,1988-1990,Syndication,6.9,1988,1990,Fantastic Max
523,Fantastic Voyage,17,1968-1969,ABC,6.8,1968,1969,Fantastic Voyage
524,The Fantastic Voyages of Sinbad the Sailor,26,1998,Cartoon Network,7.2,1998,NA,The Fantastic Voyages of Sinbad the Sailor
525,Fast & Furious Spy Racers,52,2019-2021,Netflix,5.9,2019,2021,Fast & Furious Spy Racers
526,Fat Albert and the Cosby Kids,110,1972-1985,CBS,6.7,1972,1985,Fat Albert and the Cosby Kids
527,Father of the Pride,13,2004-2005,NBC,6.7,2004,2005,Father of the Pride
528,Fatherhood,26,2004-2006,Nick at Nite,6.6,2004,2006,Fatherhood
529,Farzar,10,2022,Netflix,5.6,2022,NA,Farzar
530,Feeling Good with JoJo,20,2006-2008,Playhouse Disney,4.2,2006,2008,Feeling Good with JoJo
531,Festival of Family Classics,20,1972-1973,Syndication,7.6,1972,1973,Festival of Family Classics
532,Fetch! with Ruff Ruffman,100,2006-2010,PBS Kids Go!,7.3,2006,2010,Fetch! with Ruff Ruffman
533,Felix the Cat,260,1958-1960,Syndication,6.6,1958,1960,Felix the Cat
534,Fievel's American Tails,13,1992,CBS,6.2,1992,NA,Fievel's American Tails
535,Fillmore!,26,2002-2004,"ABC
Toon Disney",7.6,2002,2004,Fillmore!
536,Final Space,36,2018-2021,TBSAdult Swim,8.2,2018,2021,Final Space
537,Firebuds,24,2022-present,Disney Junior,5.3,2022,NA,Firebuds
538,Fired on Mars,8,2023-present,HBO Max,6.9,2023,NA,Fired on Mars
539,Firehouse Tales,26,2005-2006,Cartoon Network,7,2005,2006,Firehouse Tales
540,Fish Hooks,110,2010-2014,Disney Channel,4.9,2010,2014,Fish Hooks
541,Fish Police,3,1992,CBS,7.9,1992,NA,Fish Police
542,The Flintstone Comedy Hour,16,1972-1974,CBS,6.5,1972,1974,The Flintstone Comedy Hour
543,The Flintstone Comedy Show,18,1980-1981,NBC,6.6,1980,1981,The Flintstone Comedy Show
544,The Flintstone Funnies,45,1982-1984,NBC,6.6,1982,1984,The Flintstone Funnies
545,The Flintstone Kids,36,1986-1987,ABC,5.8,1986,1987,The Flintstone Kids
546,The Flintstones,166,1960-1966,ABC,7.5,1960,1966,The Flintstones
547,The Fonz and the Happy Days Gang,24,1980-1981,ABC,5.4,1980,1981,The Fonz and the Happy Days Gang
548,Foofur,26,1986-1988,NBC,5.8,1986,1988,Foofur
549,Force Five,130,1980-1981,Syndication,5,1980,1981,Force Five
550,Forky Asks a Question,10,2019-2020,Disney+,6.6,2019,2020,Forky Asks a Question
551,Foster's Home for Imaginary Friends,79,2004-2009,Cartoon Network,7.6,2004,2009,Foster's Home for Imaginary Friends
552,Four Eyes!,24,2006,Nicktoons Network,7.4,2006,NA,Four Eyes!
554,Fox's Peter Pan & the Pirates,65,1990-1991,Fox Kids,7.2,1990,1991,Fox's Peter Pan & the Pirates
555,Fraggle Rock: The Animated Series,13,1987,NBC,7.2,1987,NA,Fraggle Rock: The Animated Series
556,Fraidy Cat,12,1975,ABC,5.8,1975,NA,Fraidy Cat
557,Frankenstein Jr. and The Impossibles,18,1966-1967,CBS,6.6,1966,1967,Frankenstein Jr. and The Impossibles
558,Frankenguy and the Professor,8,1997-2002,Playhouse Disney,4.6,1997,2002,Frankenguy and the Professor
559,Frances,4,2008,PBS Kids Sprout,3.1,2008,NA,Frances
560,The Freak Brothers,12,2021-present,Tubi,6,2021,NA,The Freak Brothers
561,Freak Show,8,2006,Comedy Central,5,2006,NA,Freak Show
562,Freakazoid!,24,1995-1996,Kids' WB,7.5,1995,1996,Freakazoid!
563,Fred and Barney Meet the Shmoo,17,1979-1980,NBC,6.3,1979,1980,Fred and Barney Meet the Shmoo
564,Fred and Barney Meet the Thing,13,1979,NBC,5.6,1979,NA,Fred and Barney Meet the Thing
565,Fred Flintstone and Friends,95,1977-1978,Syndication,7.2,1977,1978,Fred Flintstone and Friends
566,Free for All,7,2003,Showtime,6.4,2003,NA,Free for All
567,Free Willy,21,1994-1995,ABC,6,1994,1995,Free Willy
568,The Freedom Force,5,1978,ABC,8,1978,NA,The Freedom Force
569,Fresh Beat Band of Spies,20,2015-2016,Nickelodeon,6.9,2015,2016,Fresh Beat Band of Spies
570,Friday: The Animated Series,7,2006,MTV2,6,2006,NA,Friday: The Animated Series
571,Fright Krewe,10,2023-present,HuluPeacock,7.4,2023,NA,Fright Krewe
572,Frisky Dingo,25,2006-2008,Adult Swim,8.2,2006,2008,Frisky Dingo
573,Frog in a Suit,3,2011,YouTube,7.8,2011,NA,Frog in a Suit
574,The Fungies!,80,2020-2021,MaxCartoon Network,6.7,2020,2021,The Fungies!
575,Funky Cops,39,2002-2004,4Kids TV,6.8,2002,2004,Funky Cops
576,The Funky Phantom,17,1971-1972,ABC,6.4,1971,1972,The Funky Phantom
577,The Funny Company,155,1963,Syndication,7.9,1963,NA,The Funny Company
578,The Further Adventures of SuperTed,13,1989,Syndication,7.1,1989,NA,The Further Adventures of SuperTed
579,Futurama,150,1999-present,"Fox
Comedy Central
Hulu",8.5,1999,NA,Futurama
580,The Future is Wild,26,2007-2008,Discovery Kids,7.6,2007,2008,The Future is Wild
581,Future-Worm!,21,2016-2018,Disney XD,5.3,2016,2018,Future-Worm!
582,G-Force: Guardians of Space,85,1983-1986,TBS,7.4,1983,1986,G-Force: Guardians of Space
583,G.I. Joe: A Real American Hero (1983),95,1983-1986,Syndication,8,1983,1986,G.I. Joe: A Real American Hero
584,G.I. Joe: A Real American Hero (1989),44,1989-1992,Syndication,7.2,1989,1992,G.I. Joe: A Real American Hero
585,G.I. Joe Extreme,26,1995-1996,Syndication,5.2,1995,1996,G.I. Joe Extreme
586,G.I. Joe: Renegades,26,2010-2011,The Hub,7.1,2010,2011,G.I. Joe: Renegades
587,G.I. Joe: Resolute,11,2009,Adult Swim,7.5,2009,NA,G.I. Joe: Resolute
588,G.I. Joe: Sigma 6,26,2005-2006,4Kids TV,4.7,2005,2006,G.I. Joe: Sigma 6
589,Gabby's Dollhouse,57,2021-present,Netflix,7.3,2021,NA,Gabby's Dollhouse
590,Gadget & the Gadgetinis,52,2002-2003,Fox Kids,5.1,2002,2003,Gadget & the Gadgetinis
591,Gadget Boy & Heather,52,1995-1998,Syndication,6.7,1995,1998,Gadget Boy & Heather
592,Galaxy High School,13,1986,CBS,7.4,1986,NA,Galaxy High School
593,Galtar and the Golden Lance,21,1985-1986,Syndication,7.1,1985,1986,Galtar and the Golden Lance
594,Game Over,5,2001,UPN,4.5,2001,NA,Game Over
595,Gargoyles,78,1994-1997,Syndication,8,1994,1997,Gargoyles
596,Garfield and Friends,121,1988-1994,CBS,7.2,1988,1994,Garfield and Friends
597,The Garfield Show,107,2009-2016,Cartoon NetworkBoomerang,5.5,2009,2016,The Garfield Show
598,Gary and His Demons,26,2018-present,VRVAmazon Prime Video,8,2018,NA,Gary and His Demons
599,Gary & Mike,13,2001,UPN,7.4,2001,NA,Gary & Mike
600,The Gary Coleman Show,26,1982,NBC,6.2,1982,NA,The Gary Coleman Show
601,Gary the Rat,26,2003,Spike TV,6.5,2003,NA,Gary the Rat
602,Gemusetto,20,2019-2020,Adult Swim,6.6,2019,2020,Gemusetto
603,Gen:Lock,16,2019-2021,Rooster TeethHBO Max,7.2,2019,2021,Gen:Lock
604,Generation Jets,13,2003-2004,WCBS-TV,7,2003,2004,Generation Jets
605,Generation O!,13,2000-2001,Kids' WB,6.6,2000,2001,Generation O!
606,Generator Rex,60,2010-2013,Cartoon Network,7.6,2010,2013,Generator Rex
607,Genesis,3,2023,YouTube,6.8,2023,NA,Genesis
608,George and Martha,52,1999-2000,HBO Family,7,1999,2000,George and Martha
609,George of the Jungle,17,1967,ABC,5.5,1967,NA,George of the Jungle
610,George of the Jungle (2007),52,2007-2017,Cartoon Network,4.3,2007,2017,George of the Jungle
611,Gerald McBoing-Boing,52,2005-2007,Cartoon Network,7.1,2005,2007,Gerald McBoing-Boing
612,Geronimo Stilton,52,2009-2012,Kabillion,7.4,2009,2012,Geronimo Stilton
613,The Get Along Gang,13,1984,CBS,7.1,1984,NA,The Get Along Gang
614,Get Blake!,26,2016,Nicktoons,5.6,2016,NA,Get Blake!
615,Get Ed,26,2005-2006,Jetix,6.6,2005,2006,Get Ed
616,The Ghost and Molly McGee,41,2021-2024,Disney Channel,7.5,2021,2024,The Ghost and Molly McGee
